AP MAC,zoneId,apGroupId,AP Serial,AP Name,Zone Name,AP Description,AP Location,AP S/W Version,wifi24Channel,wifi50Channel,NAS IP (externalIp),NAS Port (externalPort),AP IP,AP Provisioned Method,AP Approved Time,AP Last Seen,Connected Client counts,Management VLAN
C8:84:8C:0C:F4:60,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. D-6,BARMER,5.2.2.0.301,6,128,122.187.49.115,56342,10.0.9.162,Discovered,1.67E+12,1.70E+12,0,1
C8:84:8C:0C:F5:A0,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. D-5,BARMER,5.2.2.0.301,1,104,122.187.49.115,44148,10.0.9.165,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0D:06:C0,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. D-20,BARMER,5.2.2.0.301,1,149,122.187.49.115,39476,10.0.9.144,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0D:06:F0,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. s-24,BARMER,5.2.2.0.301,11,100,122.187.49.115,39837,10.0.9.150,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0D:07:30,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. S-9,BARMER,5.2.2.0.301,11,149,122.187.49.115,38035,10.0.9.133,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0D:21:60,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,GYM,BARMER,5.2.2.0.301,1,100,122.187.49.115,44968,10.0.9.136,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0D:28:80,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. PE-7,BARMER,5.2.2.0.301,11,124,122.187.49.115,56476,10.0.9.140,Discovered,1.67E+12,1.71E+12,1,1
C8:84:8C:0D:29:A0,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. S-18,BARMER,5.2.2.0.301,6,60,122.187.49.115,38565,10.0.9.145,Discovered,1.67E+12,1.71E+12,2,1
C8:84:8C:0D:2B:80,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. S-1,BARMER,5.2.2.0.301,1,36,122.187.49.115,42039,10.0.9.132,Discovered,1.67E+12,1.71E+12,2,1
C8:84:8C:0D:2B:A0,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. D-18,BARMER,5.2.2.0.301,6,128,122.187.49.115,34708,10.0.9.146,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:10:D0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 691,BARMER,5.2.2.0.301,6,108,122.186.2.18,47080,10.0.8.142,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:1C:70,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),CANTIN,BARMER,5.2.2.0.301,1,44,122.186.2.18,37925,10.0.8.143,Discovered,1.68E+12,1.71E+12,0,1
C8:84:8C:0E:1E:20,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 673,BARMER,5.2.2.0.301,6,149,122.186.2.18,39545,10.0.8.113,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:24:B0,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,G FLOOR,BARMER,5.2.2.0.301,6,132,125.21.90.226,51102,10.0.9.30,Discovered,1.69E+12,1.71E+12,2,1
C8:84:8C:0E:25:10,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,G FLOOR,BARMER,5.2.2.0.301,11,56,125.21.90.226,55748,10.0.9.33,Discovered,1.69E+12,1.71E+12,0,1
C8:84:8C:0E:26:70,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 681,BARMER,5.2.2.0.301,1,48,122.186.2.18,54269,10.0.8.119,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:27:90,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,G FLOOR,BARMER,5.2.2.0.301,11,136,125.21.90.226,41354,10.0.9.23,Discovered,1.69E+12,1.71E+12,0,1
C8:84:8C:0E:27:A0,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,G FLOOR,BARMER,5.2.2.0.301,6,56,125.21.90.226,37789,10.0.9.32,Discovered,1.69E+12,1.71E+12,0,1
C8:84:8C:0E:27:D0,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,4.05E+15,VEDANT LIMITED RGT,5.2.2.0.301,1,108,125.21.90.226,50070,10.0.9.35,Discovered,1.69E+12,1.71E+12,0,1
C8:84:8C:0E:27:E0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. S02,BARMER,5.2.2.0.301,1,161,122.186.2.18,45218,10.0.8.131,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:28:A0,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,OLD lq1st floor,BARMER,5.2.2.0.301,1,153,125.21.90.226,46361,10.0.9.16,Discovered,1.69E+12,1.71E+12,0,1
C8:84:8C:0E:29:30,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,1st floor,BARMER,5.2.2.0.301,6,153,125.21.90.226,40066,10.0.9.27,Discovered,1.69E+12,1.71E+12,1,1
C8:84:8C:0E:29:90,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 680,BARMER,5.2.2.0.301,11,36,122.186.2.18,60520,10.0.8.124,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:2A:00,0c2ddcc4-edaa-430f-acfa-5bc682d9ac73,07fbbe80-8c34-4bb7-b4e1-1a777cb773f7,2.72E+11,4.05E+15,VEDANTA CARIN BHAGAYAM,BUNK NO. S-3,BARMER,5.2.2.0.301,11,149,122.187.49.115,55503,10.0.9.168,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:2A:90,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 672,BARMER,5.2.2.0.301,11,157,122.186.2.18,42583,10.0.8.102,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:2A:B0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,2.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 687,BARMER,5.2.2.0.301,11,100,122.186.2.18,41660,10.0.8.145,Discovered,1.67E+12,1.71E+12,0,1
C8:84:8C:0E:2C:20,d738d085-dbdc-4e6b-9f37-50ed61eab6b2,d8d32450-49d7-402e-8c46-6c111941b952,2.72E+11,4.05E+15,VEDANTA CAIRN RGT,BUNK PE-3,BARMER,5.2.2.0.301,11,40,125.21.90.226,57650,10.0.9.48,Discovered,1.69E+12,1.71E+12,0,1
